Player,Pos,NBAID
Deonte Burton,"SF, SG",1629126
DerMarr Johnson,"SF, SG",2035
Derek Anderson,"PG, SF, SG",1507
Derek Fisher,"PG, SG, SG-PG",965
Derek Grimm,SF,1575
Derek Harper,"PG, SG",157
Derek Hood,PF,1967
Derek Strong,PF,400
Deron Williams,PG,101114
Derrick Brown,SF,201974
Derrick Byars,PF,201182
Derrick Caracter,C,202382
Derrick Coleman,"C, PF",934
Derrick Dial,SG,1760
Derrick Favors,"C, PF",202324
Derrick Jones Jr.,"PF, SF",1627884
Derrick McKey,SF,365
Derrick Rose,PG,201565
Derrick Walton,PG,-1
Derrick White,"PG, SG",1628401
Derrick Williams,"PF, SF, SF-PF",202682
Derrick Zimmerman,PG,2583
Desmon Farmer,SG,2824
Desmond Bane,"SF, SG",-1
Desmond Ferguson,SF,2724
Desmond Mason,"SF, SG",2046
Desmond Penigar,PF,2667
Detlef Schrempf,SF,96
Devean George,SF,1904
Devin Booker,SG,1626164
Devin Brown,SG,2484
Devin Cannady,PG,-1
Devin Ebanks,"SF, SG",202365
Devin Gray,SF,1070
Devin Green,SG,101209
Devin Harris,"PG, SG",2734
Devin Robinson,SF,1628421
Devin Vassell,SF,-1
Devon Dotson,PG,-1
Devon Hall,PG,1628985
Devontae Cacok,"C, PF",1629719
Devonte' Graham,PG,1628984
Devyn Marble,SG,203906
Dewan Hernandez,C,1629608
Dewayne Dedmon,C,203473
Dexter Pittman,C,202354
Deyonta Davis,C,1627738
Diamond Stone,C,1627754
Diante Garrett,PG,203197
Dickey Simpkins,"C, PF",54
Didi Louzada,"SF, SG, SG-SF",-1
Dijon Thompson,"SF, SG",101159
Dikembe Mutombo*,C,87
Dillon Brooks,"SF, SG",1628415
Dion Glover,SG,1901
Dion Waiters,SG,203079
Dionte Christmas,SF,202091
Dirk Nowitzki,"C, PF",1717
Domantas Sabonis,"C, C-PF, PF",1627734
Dominic McGuire,"PF, SF, SG",201187
Dominique Jones,"PG, SG",202346
Dominique Wilkins*,SF,1122
Don MacLean,"PF, SF",931
Don Reid,PF,690
Donald Royal,SF,140
Donald Sloan,"PG, SG, SG-PG",202388
Donald Whiteside,PG,1126
Donatas Motiejūnas,PF,202700
Donell Taylor,SG,101182
Donnell Harvey,"PF, SF",2051
Donny Marshall,SF,681
Donovan Mitchell,"PG, SG",1628378
Donta Hall,"C, C-PF, PF",-1
